<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20200103,110000,255.9700000,256.9700000,255.5200000,255.7700000,4651320
SBER,60,20200103,120000,255.7800000,257.0500000,255.5200000,257.0100000,3754140
SBER,60,20200103,130000,257.0000000,258.1900000,256.7700000,257.2000000,4061070
SBER,60,20200103,140000,257.2000000,257.6000000,256.0600000,256.4500000,3052930
SBER,60,20200103,150000,256.4500000,256.7500000,254.5600000,254.6500000,5143900
SBER,60,20200103,160000,254.6400000,255.0000000,253.7000000,254.9700000,4554160
SBER,60,20200103,170000,254.9500000,255.1000000,254.3000000,254.5000000,2546990
SBER,60,20200103,180000,254.5100000,254.9600000,254.3000000,254.3500000,3059620
SBER,60,20200103,190000,254.3800000,255.1600000,254.1000000,255.0000000,5000030
SBER,60,20200106,110000,254.7500000,254.8400000,252.0300000,252.1000000,4578260
SBER,60,20200106,120000,252.1000000,253.9200000,251.7600000,252.0500000,3997770
SBER,60,20200106,130000,252.0500000,252.4500000,251.4000000,251.7100000,2485200
SBER,60,20200106,140000,251.7200000,252.1400000,251.5000000,251.8400000,1246790
SBER,60,20200106,150000,251.8000000,252.1400000,251.4000000,252.0100000,764010
SBER,60,20200106,160000,252.0100000,252.5000000,251.7200000,252.1700000,1386000
SBER,60,20200106,170000,252.1100000,252.6500000,251.7000000,252.4600000,1730040
SBER,60,20200106,180000,252.4000000,252.7400000,252.1000000,252.4900000,1933000
SBER,60,20200106,190000,252.4700000,253.9000000,252.4700000,253.9000000,4206870
SBER,60,20200108,110000,253.6200000,255.7000000,253.0300000,255.0600000,7194480
SBER,60,20200108,120000,255.0700000,258.0000000,255.0200000,256.2800000,8401760
SBER,60,20200108,130000,256.3100000,257.4300000,256.2600000,256.7800000,3161750
SBER,60,20200108,140000,256.8600000,256.9800000,255.8100000,256.9100000,2566260
SBER,60,20200108,150000,256.9100000,257.2500000,256.6500000,256.8700000,3753530
SBER,60,20200108,160000,256.8800000,257.9900000,256.7500000,257.8400000,3298670
SBER,60,20200108,170000,257.8700000,258.6900000,257.0200000,258.1400000,4609590
SBER,60,20200108,180000,258.2100000,258.8600000,257.9500000,258.7200000,2330570
SBER,60,20200108,190000,258.7100000,259.1500000,258.3200000,259.1500000,5419420
SBER,60,20200109,110000,259.4100000,261.7600000,259.3600000,261.1000000,8518180
SBER,60,20200109,120000,261.0900000,261.0900000,258.6800000,258.9700000,6415810
SBER,60,20200109,130000,259.0000000,259.8700000,258.2800000,259.7500000,2273080
SBER,60,20200109,140000,259.7300000,260.9400000,258.8900000,258.9500000,3262650
SBER,60,20200109,150000,258.9700000,259.5400000,258.7400000,259.4800000,2952080
SBER,60,20200109,160000,259.4800000,259.8600000,257.5500000,258.3800000,4025130
SBER,60,20200109,170000,258.3800000,258.8000000,257.8000000,257.9800000,1656800
SBER,60,20200109,180000,257.9200000,258.6800000,257.5800000,257.7800000,3533850
SBER,60,20200109,190000,257.7900000,258.0300000,257.0100000,257.9900000,5558720
SBER,60,20200110,110000,257.9100000,258.2100000,256.8800000,257.4500000,3143850
SBER,60,20200110,120000,257.4200000,259.2500000,257.1300000,258.8700000,4329890
SBER,60,20200110,130000,258.8800000,259.1000000,258.4300000,258.7000000,2032870
SBER,60,20200110,140000,258.7000000,258.7900000,258.0000000,258.0500000,1018400
SBER,60,20200110,150000,258.0500000,258.4700000,257.7000000,258.1400000,1283390
SBER,60,20200110,160000,258.1300000,258.5700000,257.9000000,258.0700000,1159530
SBER,60,20200110,170000,258.0400000,258.1300000,257.4300000,257.7600000,1706020
SBER,60,20200110,180000,257.7300000,258.3000000,257.4700000,257.9300000,1247170
SBER,60,20200110,190000,257.8500000,258.2600000,257.6200000,258.1900000,2920530
SBER,60,20200113,110000,258.2100000,258.9300000,257.1500000,258.8700000,3336840
SBER,60,20200113,120000,258.8900000,259.4000000,258.1000000,258.4600000,2668700
SBER,60,20200113,130000,258.4000000,259.4000000,258.2500000,258.9100000,1509600
SBER,60,20200113,140000,258.9800000,259.0000000,258.5100000,258.9000000,1283090
SBER,60,20200113,150000,258.9000000,259.8300000,258.7200000,258.9800000,2550230
SBER,60,20200113,160000,258.9200000,259.4200000,258.5000000,258.7200000,1372490
SBER,60,20200113,170000,258.7200000,259.9600000,258.7200000,259.8400000,1491750
SBER,60,20200113,180000,259.8600000,261.1600000,259.8600000,260.8900000,5302350
